interests,category,preferred_difficulty,past_experience,preferred_language,recommended_course
Physical Chemistry,chemistry,beginner,intermediate,Hindi,Physical Chemistry beginner Hindi
Swift,programming,beginner,basic,Hindi,Swift beginner Hindi
Big Data,data science,advanced,none,Hindi,Big Data advanced Hindi
Computer Vision,machine learning,advanced,advanced,English,Computer Vision advanced English
PHP,programming,advanced,advanced,English,PHP advanced English
Organic Chemistry,chemistry,beginner,advanced,Hindi,Organic Chemistry beginner Hindi
Modern Physics,physics,advanced,advanced,Hindi,Modern Physics advanced Hindi
C++,programming,beginner,none,English,C++ beginner English
Modern History,history,intermediate,advanced,English,Modern History intermediate English
Data Analysis,data science,advanced,advanced,Hindi,Data Analysis advanced Hindi
JavaScript,programming,intermediate,advanced,English,JavaScript intermediate English
R,programming,intermediate,intermediate,English,R intermediate English
Ancient History,history,intermediate,none,English,Ancient History intermediate English
Analytical Chemistry,chemistry,advanced,basic,English,Analytical Chemistry advanced English
Analytical Chemistry,chemistry,beginner,basic,English,Analytical Chemistry beginner English
Electricity and Magnetism,physics,advanced,none,English,Electricity and Magnetism advanced English
Ruby,programming,advanced,intermediate,Hindi,Ruby advanced Hindi
Deep Learning,machine learning,advanced,none,English,Deep Learning advanced English
American Literature,literature,intermediate,advanced,English,American Literature intermediate English
Number Theory,math,beginner,basic,Hindi,Number Theory beginner Hindi
Analytical Chemistry,chemistry,beginner,basic,English,Analytical Chemistry beginner English
Thermodynamics,physics,beginner,intermediate,Hindi,Thermodynamics beginner Hindi
Medieval History,history,intermediate,basic,English,Medieval History intermediate English
Modern History,history,advanced,advanced,English,Modern History advanced English
Optics,physics,intermediate,none,Hindi,Optics intermediate Hindi
American Literature,literature,intermediate,basic,Hindi,American Literature intermediate Hindi
Mechanics,physics,intermediate,basic,Hindi,Mechanics intermediate Hindi
Computer Vision,machine learning,advanced,basic,English,Computer Vision advanced English
Probability and Statistics,math,intermediate,none,Hindi,Probability and Statistics intermediate Hindi
Medieval History,history,beginner,advanced,English,Medieval History beginner English
Computer Vision,machine learning,intermediate,intermediate,English,Computer Vision intermediate English
Calculus,math,intermediate,none,Hindi,Calculus intermediate Hindi
JavaScript,programming,advanced,advanced,Hindi,JavaScript advanced Hindi
Analytical Chemistry,chemistry,intermediate,none,Hindi,Analytical Chemistry intermediate Hindi
Deep Learning,machine learning,beginner,none,Hindi,Deep Learning beginner Hindi
Electricity and Magnetism,physics,advanced,intermediate,Hindi,Electricity and Magnetism advanced Hindi
Mechanics,physics,intermediate,basic,Hindi,Mechanics intermediate Hindi
Geometry,math,advanced,none,Hindi,Geometry advanced Hindi
Data Mining,data science,advanced,intermediate,English,Data Mining advanced English
Big Data,data science,intermediate,basic,English,Big Data intermediate English
Ruby,programming,beginner,basic,Hindi,Ruby beginner Hindi
Probability and Statistics,math,advanced,basic,English,Probability and Statistics advanced English
World Literature,literature,beginner,intermediate,Hindi,World Literature beginner Hindi
Inorganic Chemistry,chemistry,intermediate,basic,English,Inorganic Chemistry intermediate English
Modern Physics,physics,beginner,none,Hindi,Modern Physics beginner Hindi
Indian History,history,beginner,advanced,Hindi,Indian History beginner Hindi
Calculus,math,intermediate,intermediate,English,Calculus intermediate English
Optics,physics,intermediate,advanced,Hindi,Optics intermediate Hindi
Java,programming,advanced,advanced,Hindi,Java advanced Hindi
Algebra,math,intermediate,none,English,Algebra intermediate English
Geometry,math,advanced,advanced,English,Geometry advanced English
Machine Learning Basics,machine learning,beginner,basic,Hindi,Machine Learning Basics beginner Hindi
Algebra,math,intermediate,intermediate,English,Algebra intermediate English
Ancient History,history,beginner,none,English,Ancient History beginner English
C++,programming,beginner,basic,English,C++ beginner English
World Wars,history,beginner,intermediate,English,World Wars beginner English
Analytical Chemistry,chemistry,intermediate,none,Hindi,Analytical Chemistry intermediate Hindi
Geometry,math,beginner,intermediate,Hindi,Geometry beginner Hindi
JavaScript,programming,beginner,basic,English,JavaScript beginner English
Analytical Chemistry,chemistry,beginner,advanced,Hindi,Analytical Chemistry beginner Hindi
Organic Chemistry,chemistry,intermediate,intermediate,English,Organic Chemistry intermediate English
Drama,literature,beginner,none,Hindi,Drama beginner Hindi
Python,programming,beginner,basic,Hindi,Python beginner Hindi
Drama,literature,beginner,advanced,English,Drama beginner English
Deep Learning,machine learning,advanced,none,English,Deep Learning advanced English
Natural Language Processing,machine learning,intermediate,intermediate,English,Natural Language Processing intermediate English
Swift,programming,advanced,intermediate,English,Swift advanced English
Analytical Chemistry,chemistry,beginner,none,Hindi,Analytical Chemistry beginner Hindi
JavaScript,programming,advanced,basic,Hindi,JavaScript advanced Hindi
Data Analysis,data science,intermediate,advanced,English,Data Analysis intermediate English
Geometry,math,beginner,advanced,English,Geometry beginner English
World Literature,literature,intermediate,advanced,Hindi,World Literature intermediate Hindi
Algebra,math,intermediate,intermediate,English,Algebra intermediate English
English Literature,literature,beginner,intermediate,English,English Literature beginner English
Inorganic Chemistry,chemistry,advanced,advanced,English,Inorganic Chemistry advanced English
Indian History,history,intermediate,none,Hindi,Indian History intermediate Hindi
Inorganic Chemistry,chemistry,intermediate,advanced,English,Inorganic Chemistry intermediate English
Modern History,history,beginner,none,English,Modern History beginner English
Organic Chemistry,chemistry,beginner,none,English,Organic Chemistry beginner English
Drama,literature,beginner,none,English,Drama beginner English
Go,programming,beginner,none,Hindi,Go beginner Hindi
Poetry,literature,advanced,intermediate,Hindi,Poetry advanced Hindi
Optics,physics,beginner,advanced,English,Optics beginner English
Modern Physics,physics,advanced,advanced,Hindi,Modern Physics advanced Hindi
Natural Language Processing,machine learning,intermediate,intermediate,English,Natural Language Processing intermediate English
Indian History,history,advanced,none,English,Indian History advanced English
Computer Vision,machine learning,advanced,basic,Hindi,Computer Vision advanced Hindi
Probability and Statistics,math,intermediate,none,English,Probability and Statistics intermediate English
Algebra,math,advanced,basic,English,Algebra advanced English
Indian History,history,advanced,advanced,Hindi,Indian History advanced Hindi
Modern Physics,physics,beginner,basic,English,Modern Physics beginner English
Ruby,programming,beginner,advanced,English,Ruby beginner English
Number Theory,math,intermediate,basic,Hindi,Number Theory intermediate Hindi
Modern History,history,advanced,basic,English,Modern History advanced English
Data Mining,data science,advanced,advanced,Hindi,Data Mining advanced Hindi
Modern Physics,physics,beginner,none,Hindi,Modern Physics beginner Hindi
Physical Chemistry,chemistry,advanced,none,English,Physical Chemistry advanced English
American Literature,literature,beginner,none,English,American Literature beginner English
Physical Chemistry,chemistry,advanced,advanced,English,Physical Chemistry advanced English
Drama,literature,advanced,advanced,Hindi,Drama advanced Hindi
Poetry,literature,advanced,advanced,English,Poetry advanced English
Go,programming,beginner,intermediate,English,Go beginner English
World Literature,literature,beginner,basic,English,World Literature beginner English
Data Mining,data science,intermediate,intermediate,English,Data Mining intermediate English
Geometry,math,beginner,none,Hindi,Geometry beginner Hindi
Go,programming,beginner,intermediate,English,Go beginner English
Natural Language Processing,machine learning,advanced,none,English,Natural Language Processing advanced English
Python,programming,beginner,intermediate,Hindi,Python beginner Hindi
Data Analysis,data science,intermediate,none,English,Data Analysis intermediate English
World Wars,history,intermediate,basic,English,World Wars intermediate English
Data Visualization,data science,intermediate,none,English,Data Visualization intermediate English
JavaScript,programming,advanced,none,English,JavaScript advanced English
Go,programming,beginner,none,English,Go beginner English
Poetry,literature,advanced,none,English,Poetry advanced English
R,programming,advanced,advanced,Hindi,R advanced Hindi
Poetry,literature,beginner,advanced,Hindi,Poetry beginner Hindi
World Wars,history,advanced,advanced,Hindi,World Wars advanced Hindi
Machine Learning Basics,machine learning,beginner,advanced,English,Machine Learning Basics beginner English
JavaScript,programming,advanced,basic,Hindi,JavaScript advanced Hindi
Modern Physics,physics,advanced,none,English,Modern Physics advanced English
Ruby,programming,advanced,basic,Hindi,Ruby advanced Hindi
C++,programming,intermediate,advanced,English,C++ intermediate English
Electricity and Magnetism,physics,advanced,basic,Hindi,Electricity and Magnetism advanced Hindi
Big Data,data science,beginner,none,Hindi,Big Data beginner Hindi
Deep Learning,machine learning,beginner,intermediate,Hindi,Deep Learning beginner Hindi
Data Mining,data science,intermediate,none,English,Data Mining intermediate English
Calculus,math,intermediate,none,Hindi,Calculus intermediate Hindi
